theta,a1,z1,E1,machine_type,status,file_name
60,5.0,1.3,-1.69042408860696,2,Done,C5_theta=60_a1=5.0_z1=1.3_1.log
60,5.2,1.3,-1.6181650570651982,1,Done,C5_theta=60_a1=5.2_z1=1.3_1.log
55,5.0,1.3,-1.6321942981594475,2,Done,C5_theta=55_a1=5.0_z1=1.3_1.log
60,4.9,1.3,-1.630449820368085,2,Done,C5_theta=60_a1=4.9_z1=1.3_1.log
55,4.9,1.3,-1.5493108948285226,2,Done,C5_theta=55_a1=4.9_z1=1.3_1.log
65,5.0,1.3,-1.7648210467159515,1,Done,C5_theta=65_a1=5.0_z1=1.3_1.log
65,4.9,1.3,-1.7450130660290597,2,Done,C5_theta=65_a1=4.9_z1=1.3_1.log
65,5.1,1.3,-1.7249264709244017,2,Done,C5_theta=65_a1=5.1_z1=1.3_1.log
70,4.5,0.0,-2.077241332939593,1,Done,C5_theta=70_a1=4.5_z1=0.0_1.log
70,4.4,0.0,-1.7868265673751011,2,Done,C5_theta=70_a1=4.4_z1=0.0_1.log
70,4.6,0.0,-2.2239305805560434,2,Done,C5_theta=70_a1=4.6_z1=0.0_1.log
75,4.3,0.0,-1.651817790872883,1,Done,C5_theta=75_a1=4.3_z1=0.0_1.log
75,4.2,0.0,-1.0338308826467255,2,Done,C5_theta=75_a1=4.2_z1=0.0_1.log
75,4.4,0.0,-2.037182977059274,2,Done,C5_theta=75_a1=4.4_z1=0.0_1.log
70,4.7,0.0,-2.2675130326097133,1,Done,C5_theta=70_a1=4.7_z1=0.0_1.log
75,4.5,0.0,-2.251295036636293,1,Done,C5_theta=75_a1=4.5_z1=0.0_1.log
70,4.8,0.0,-2.23909937980352,1,Done,C5_theta=70_a1=4.8_z1=0.0_1.log
75,4.6,0.0,-2.341632631287212,2,Done,C5_theta=75_a1=4.6_z1=0.0_1.log
80,4.2,0.0,-1.2706148785364348,2,Done,C5_theta=80_a1=4.2_z1=0.0_1.log
80,4.1,0.0,-0.4132354153407505,2,Done,C5_theta=80_a1=4.1_z1=0.0_1.log
80,4.3,0.0,-1.8262379604420853,1,Done,C5_theta=80_a1=4.3_z1=0.0_1.log
75,4.7,0.0,-2.343835818857769,2,Done,C5_theta=75_a1=4.7_z1=0.0_1.log
80,4.4,0.0,-2.159949033448356,2,Done,C5_theta=80_a1=4.4_z1=0.0_1.log
85,4.2,0.0,-1.339251922312542,1,Done,C5_theta=85_a1=4.2_z1=0.0_1.log
85,4.1,0.0,-0.4942099332401994,1,Done,C5_theta=85_a1=4.1_z1=0.0_1.log
85,4.3,0.0,-1.8785177010431653,1,Done,C5_theta=85_a1=4.3_z1=0.0_1.log
80,4.5,0.0,-2.332846863762825,2,Done,C5_theta=80_a1=4.5_z1=0.0_1.log
85,4.4,0.0,-2.1949891918484354,1,Done,C5_theta=85_a1=4.4_z1=0.0_1.log
80,4.6,0.0,-2.391215333904256,1,Done,C5_theta=80_a1=4.6_z1=0.0_1.log
85,4.5,0.0,-2.351842218951788,1,Done,C5_theta=85_a1=4.5_z1=0.0_1.log
90,4.3,0.1,-1.857223776707542,2,Done,C5_theta=90_a1=4.3_z1=0.1_1.log
90,4.2,0.1,-1.306465779809514,2,Done,C5_theta=90_a1=4.2_z1=0.1_1.log
90,4.4,0.1,-2.1796710452181287,1,Done,C5_theta=90_a1=4.4_z1=0.1_1.log
85,4.6,0.0,-2.3971358907583635,2,Done,C5_theta=85_a1=4.6_z1=0.0_1.log
90,4.5,0.1,-2.3394790169404587,2,Done,C5_theta=90_a1=4.5_z1=0.1_1.log
90,4.6,0.1,-2.3855570762389107,2,Done,C5_theta=90_a1=4.6_z1=0.1_1.log
